index_x,sex,cage,mouseid,Eating,Drinking,Climbing_the_net,Curling_up,Straightening_up,Bending,Grooming,Standing,Stillness,Walking,Travel_distance,Group_of_three_mice,Rest,Rest_count,Short_sleep,Short_sleep_count,Long_sleep,Long_sleep_count,Group_of_two_mice,testage3,dietary,TestAge,Sex,Dietary,index_y,median_area,median_c,median_k,median_len,q1_area,q1_c,q1_k,q1_len,q3_area,q3_c,q3_k,q3_len,mouse_uid
1076,1,D22,mouse3,4006.25,105.8,18.6,5987.4,28781.65,340.9,0.9,14092.95,104.0,610.05,10.42,2227.5,10746.85,59,6975.8,17,5769.45,7,30562.2,20,Control,20.0,1,Control,711.0,7807.0,91.3333333333333,87.3333333333333,358.0,6989.33333333333,77.3333333333333,76.0,338.666666666667,8988.33333333333,104.0,102.666666666667,385.333333333333,female_D22
2362,0,D13,mouse2,10817.55,612.2,13.55,10703.05,52085.9,3077.35,11.45,5622.45,1189.45,394.0,10.26,2237.65,17501.75,96,15244.25,36,17143.45,18,24233.6,20,Control,20.0,0,Control,725.0,8865.66666666667,86.3333333333333,102.333333333333,381.333333333333,7962.0,77.0,87.6666666666667,361.333333333333,9897.0,99.3333333333333,114.666666666667,404.0,male_D13
993,1,D13,mouse1,7734.65,417.75,78.8,15032.45,38172.2,1179.15,3.5,10085.65,524.15,628.45,12.95,2434.35,14308.55,78,12955.05,31,12909.35,12,19911.15,19,Control,19.0,1,Control,658.0,6933.0,81.3333333333333,85.6666666666667,336.666666666667,6029.66666666667,70.6666666666667,75.6666666666667,314.0,8333.33333333333,92.3333333333333,100.0,370.666666666667,female_D13
1984,0,D07,mouse2,3194.5,126.1,24.75,12348.3,52879.65,3750.45,8.1,15444.25,2221.25,643.75,14.08,2870.8,20365.3,105,12977.55,31,21078.1,23,34722.9,13,Control,13.0,0,Control,450.0,9438.0,100.333333333333,94.0,395.333333333333,8549.33333333333,85.0,81.0,375.333333333333,10387.6666666667,115.333333333333,110.333333333333,415.333333333333,male_D07
655,1,D07,mouse2,6411.35,85.0,3.8,11962.1,46145.05,3371.8,49.35,12164.45,937.3,961.9,18.31,2083.6,16452.35,94,12878.1,30,11387.8,15,27069.25,13,Control,13.0,1,Control,426.0,7981.66666666667,89.3333333333333,91.6666666666667,362.0,7227.33333333333,77.3333333333333,79.6666666666667,344.0,8956.66666666667,103.0,102.333333333333,383.333333333333,female_D07
1639,0,D07,mouse2,3293.0,41.55,18.4,13211.6,48805.55,2555.85,8.35,15992.5,1001.8,892.95,15.13,1249.3,18781.3,104,13117.45,34,14984.25,14,24576.3,8,Control,8.0,0,Control,219.0,8356.33333333333,93.6666666666667,89.0,370.666666666667,7506.66666666667,80.3333333333333,78.3333333333333,350.0,9292.66666666667,108.666666666667,101.333333333333,392.0,male_D07
646,1,D04,mouse2,5848.9,4.15,9.1,16293.25,53197.0,3018.7,32.15,7700.8,708.85,980.8,17.6,1164.15,16083.0,86,12544.8,30,16167.5,16,16978.7,13,Control,13.0,1,Control,423.0,7844.0,89.0,86.6666666666667,360.0,6782.66666666667,76.6666666666667,74.6666666666667,333.333333333333,8950.33333333333,106.666666666667,99.3333333333333,386.0,female_D04
779,1,D04,mouse3,6633.4,582.75,15.05,12371.25,44434.95,2075.45,16.25,10176.3,436.05,691.85,12.85,572.15,16374.4,87,13529.1,33,8394.75,10,14001.8,16,Control,16.0,1,Control,510.0,7713.0,86.3333333333333,89.6666666666667,356.0,6938.0,75.3333333333333,77.0,336.666666666667,8620.66666666667,98.3333333333333,103.666666666667,377.333333333333,female_D04
1561,0,D04,mouse2,6356.9,107.1,32.95,14133.6,57128.6,5341.25,141.15,2830.75,2081.4,896.15,17.09,2372.45,14950.45,83,10719.85,27,16256.2,15,27567.1,7,Control,7.0,0,Control,169.0,8880.33333333333,96.6666666666667,94.0,384.0,7797.33333333333,80.3333333333333,79.6666666666667,359.333333333333,10188.3333333333,112.666666666667,110.666666666667,411.333333333333,male_D04
20,1,D07,mouse3,38.7,0.4,2.8,4880.9,20491.7,954.1,0.5,36665.0,555.2,1451.1,17.83,380.4,9064.1,52,5389.9,14,9963.8,11,16019.9,3,Control,3.0,1,Control,6.0,4431.0,67.6666666666667,65.6666666666667,268.666666666667,3878.66666666667,58.6666666666667,58.0,251.333333333333,5573.33333333333,78.6666666666667,75.3333333333333,304.666666666667,female_D07
